                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6161,                 2.6321,                 1.7375,                0.31639,                0.32241,                0.19178,                 0.0571,                 1.9302,                 7.2413,                  2.175,                0.00022,                0.00022,                0.00022
                      2,                  1.545,                 1.8782,                 1.5948,                0.07958,                0.47826,                0.15099,                0.06192,                 2.0217,                 8.8257,                 2.5964,             0.00044482,             0.00044482,             0.00044482
                      3,                 1.6057,                 1.6558,                 1.5746,                 0.6048,                0.73913,                  0.594,                0.23107,                 2.0646,                 4.1983,                 2.5273,              0.0006538,              0.0006538,              0.0006538
                      4,                 1.6129,                 1.6546,                 1.6539,                 0.4499,                0.60462,                0.43144,                0.11756,                 2.5542,                 3.3365,                 3.0359,             0.00084694,             0.00084694,             0.00084694
                      5,                 1.7542,                 1.6594,                 1.7097,                0.17384,                0.43478,                0.17595,                 0.0686,                 2.4086,                 8.5066,                 3.1031,              0.0010242,              0.0010242,              0.0010242
                      6,                 1.6597,                 1.4409,                 1.6184,                0.22087,                0.26087,                 0.1443,                0.03717,                 3.0887,                 7.8234,                 4.8837,              0.0011857,              0.0011857,              0.0011857
                      7,                 1.7322,                 1.4059,                 1.7018,                0.11033,                0.26087,                0.07951,                0.01732,                 2.7633,                  11.13,                 3.5829,              0.0013313,              0.0013313,              0.0013313
                      8,                 1.6274,                 1.5461,                 1.6629,                0.11289,                0.17391,                0.05941,                0.01811,                  2.823,                 4.2809,                 3.3402,              0.0014611,              0.0014611,              0.0014611
                      9,                 1.6407,                 1.5999,                 1.7549,                0.44112,                0.17391,                0.21509,                0.05713,                 2.5457,                 5.8292,                  3.059,               0.001472,               0.001472,               0.001472
                     10,                  1.666,                 1.5893,                 1.7411,                0.30261,                0.21739,                0.16143,                0.05958,                 2.4515,                 7.4454,                 2.6481,               0.001472,               0.001472,               0.001472
                     11,                 1.7429,                 1.5853,                 1.7732,                0.14121,                0.19337,                0.09419,                0.03255,                 2.7107,                 9.9167,                 3.2021,               0.001406,               0.001406,               0.001406
                     12,                 1.7028,                 1.4694,                 1.7184,                0.18144,                0.26087,                0.15238,                0.05653,                 2.7501,                  8.975,                 3.1961,                0.00134,                0.00134,                0.00134
                     13,                 1.5867,                 1.3799,                 1.6644,                0.25281,                0.21739,                0.11121,                  0.031,                 3.1178,                 5.0086,                  3.549,               0.001274,               0.001274,               0.001274
                     14,                 1.5795,                 1.3794,                 1.6176,                0.26297,                 0.3913,                 0.2002,                 0.0551,                 2.8729,                 3.2603,                 3.1002,               0.001208,               0.001208,               0.001208
                     15,                 1.6241,                 1.3114,                 1.6196,                0.60702,                0.43478,                0.37689,                0.10228,                 2.7173,                 2.7774,                 3.2575,               0.001142,               0.001142,               0.001142
                     16,                 1.5441,                 1.3237,                 1.5835,                 0.5694,                0.43478,                0.41736,                0.12376,                 2.6864,                 2.5006,                 3.4092,               0.001076,               0.001076,               0.001076
                     17,                 1.5526,                 1.2887,                 1.6415,                0.76043,                0.69025,                0.75595,                0.21833,                 2.2826,                 1.9363,                 2.7605,                0.00101,                0.00101,                0.00101
                     18,                 1.5236,                 1.2316,                 1.5491,                0.49716,                0.69565,                0.62137,                0.16356,                  2.433,                 1.9843,                 2.8217,               0.000944,               0.000944,               0.000944
                     19,                 1.4979,                  1.199,                 1.5529,                0.78175,                0.69565,                0.70996,                0.21978,                 2.2039,                 1.7753,                  2.585,               0.000878,               0.000878,               0.000878
                     20,                 1.4866,                 1.1837,                 1.5349,                0.74198,                0.73913,                 0.7015,                0.27993,                 2.0756,                 1.5577,                 2.4169,               0.000812,               0.000812,               0.000812
                     21,                 1.4814,                 1.1785,                 1.6432,                0.70746,                0.63141,                0.61614,                 0.2771,                 2.0472,                 1.6743,                 2.4238,               0.000746,               0.000746,               0.000746
                     22,                 1.4891,                 1.1515,                 1.6676,                0.73997,                0.82609,                0.71336,                0.28489,                 2.0255,                 1.5566,                 2.4481,                0.00068,                0.00068,                0.00068
                     23,                 1.5262,                 1.1883,                 1.6508,                 0.7426,                0.73913,                0.70559,                 0.2471,                 2.0119,                 1.6672,                 2.2823,               0.000614,               0.000614,               0.000614
                     24,                 1.4049,                 1.0078,                 1.5807,                0.87351,                0.78261,                0.80045,                0.30434,                 2.0461,                 1.3805,                 2.3169,               0.000548,               0.000548,               0.000548
                     25,                 1.3163,                0.97283,                 1.5349,                0.77064,                0.65217,                 0.6275,                0.24368,                 2.1532,                 1.5448,                 2.3948,               0.000482,               0.000482,               0.000482
                     26,                  1.327,                0.91522,                 1.4486,                0.58845,                0.68415,                0.57324,                0.22171,                  2.095,                 1.5236,                  2.273,               0.000416,               0.000416,               0.000416
                     27,                 1.3688,                0.90215,                 1.5112,                0.74745,                0.69565,                0.75037,                0.29039,                 2.2562,                 1.3267,                 2.4506,                0.00035,                0.00035,                0.00035
                     28,                 1.2561,                0.86223,                 1.4373,                0.90784,                0.69565,                0.79956,                0.31995,                 2.1265,                 1.2825,                 2.3713,               0.000284,               0.000284,               0.000284
                     29,                 1.2032,                0.79488,                 1.4043,                0.89338,                0.72908,                0.80084,                0.31801,                 2.1149,                 1.2982,                 2.3938,               0.000218,               0.000218,               0.000218
                     30,                 1.2635,                0.79138,                 1.4395,                0.85918,                0.82609,                0.82017,                 0.3263,                 2.0605,                 1.3695,                  2.334,               0.000152,               0.000152,               0.000152
